JavaIndexOfMulti;2;4
JavaRegexMulti;2;8
SCAhoCorasick;2;16
SCSetBackwardOracleMatching;2;32
SCSetBackwardOracleMatching;2;64
SCSetBackwardOracleMatching;2;128
SCSetBackwardOracleMatching;2;256
JavaRegexMulti;4;2
JavaIndexOfMulti;4;4
SCAhoCorasick;4;8
SCWuManber;4;16
SCWuManber;4;32
SCSetBackwardOracleMatching;4;64
SCSetBackwardOracleMatching;4;128
SCSetBackwardOracleMatching;4;256
JavaIndexOfMulti;8;2
JavaIndexOfMulti;8;4
ACAhoCorasick;8;8
SCWuManber;8;16
SCWuManber;8;32
SCSetBackwardOracleMatching;8;64
SCSetBackwardOracleMatching;8;128
SCSetBackwardOracleMatching;8;256
JavaIndexOfMulti;16;2
JavaIndexOfMulti;16;4
SCSetHorspool;16;8
SCWuManber;16;16
SCWuManber;16;32
SCWuManber;16;64
SCWuManber;16;128
SCSetBackwardOracleMatching;16;256
JavaIndexOfMulti;32;2
JavaIndexOfMulti;32;4
JavaIndexOfMulti;32;8
SCWuManber;32;16
SCWuManber;32;32
SCWuManber;32;64
SCWuManber;32;128
SCSetBackwardOracleMatching;32;256
JavaIndexOfMulti;64;2
JavaIndexOfMulti;64;4
JavaIndexOfMulti;64;8
SCSetHorspool;64;16
SCSetHorspool;64;32
SCWuManber;64;64
SCWuManber;64;128
SCSetBackwardOracleMatching;64;256
JavaIndexOfMulti;128;2
JavaIndexOfMulti;128;4
JavaIndexOfMulti;128;8
SCSetHorspool;128;16
SCSetHorspool;128;32
SCSetHorspool;128;64
SCSetHorspool;128;128
SCSetHorspool;128;256
JavaIndexOfMulti;256;2
JavaIndexOfMulti;256;4
JavaIndexOfMulti;256;8
SCSetHorspool;256;16
SCSetHorspool;256;32
SCSetHorspool;256;64
SCSetHorspool;256;128
SCSetHorspool;256;256
